id,name,price,href,imageSrc,imageAlt,breadcrumbs,images,colors,sizes,description,highlights,details
1,Mockup Tee,29.99,#,https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg,"A comfortable tee for everyday wear.","[{""id"":1,""name"":""Men"",""href"":""#""},{""id"":2,""name"":""Clothing"",""href"":""#""}]","[{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Front view of Mockup Tee""},{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Back view of Mockup Tee""}]","[{""name"":""Blue"",""class"":""bg-blue-500"",""selectedClass"":""ring-blue-500""},{""name"":""Red"",""class"":""bg-red-500"",""selectedClass"":""ring-red-500""}]","[{""name"":""S"",""inStock"":true},{""name"":""M"",""inStock"":true},{""name"":""L"",""inStock"":false}]","This is a mockup product description for the Mockup Tee.","[""High quality fabric"",""Modern design""]","Detailed information about the Mockup Tee."
2,Comfort Hoodie,49.99,#,https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg,"A stylish hoodie for all seasons.","[{""id"":1,""name"":""Men"",""href"":""#""},{""id"":2,""name"":""Clothing"",""href"":""#""}]","[{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Front view of Comfort Hoodie""},{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Back view of Comfort Hoodie""}]","[{""name"":""Green"",""class"":""bg-green-500"",""selectedClass"":""ring-green-500""},{""name"":""Black"",""class"":""bg-black"",""selectedClass"":""ring-black""}]","[{""name"":""XS"",""inStock"":true},{""name"":""M"",""inStock"":true},{""name"":""XL"",""inStock"":false}]","This is a mockup product description for the Comfort Hoodie.","[""Extra soft material"",""Adjustable hood""]","Detailed information about the Comfort Hoodie."
3,Urban Shorts,34.99,#,https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg,"Perfect shorts for urban adventures.","[{""id"":1,""name"":""Men"",""href"":""#""},{""id"":2,""name"":""Clothing"",""href"":""#""}]","[{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Front view of Urban Shorts""},{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Back view of Urban Shorts""}]","[{""name"":""Khaki"",""class"":""bg-yellow-500"",""selectedClass"":""ring-yellow-500""},{""name"":""Navy"",""class"":""bg-blue-900"",""selectedClass"":""ring-blue-900""}]","[{""name"":""30"",""inStock"":true},{""name"":""32"",""inStock"":true},{""name"":""34"",""inStock"":false}]","This is a mockup product description for the Urban Shorts.","[""Durable fabric"",""Multiple pockets""]","Detailed information about the Urban Shorts."
4,Casual Chinos,59.99,#,https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg,"Versatile chinos for any occasion.","[{""id"":1,""name"":""Men"",""href"":""#""},{""id"":2,""name"":""Clothing"",""href"":""#""}]","[{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Front view of Casual Chinos""},{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Back view of Casual Chinos""}]","[{""name"":""Beige"",""class"":""bg-yellow-200"",""selectedClass"":""ring-yellow-200""},{""name"":""Charcoal"",""class"":""bg-gray-700"",""selectedClass"":""ring-gray-700""}]","[{""name"":""30"",""inStock"":true},{""name"":""34"",""inStock"":true},{""name"":""36"",""inStock"":false}]","This is a mockup product description for the Casual Chinos.","[""Slim fit"",""Wrinkle-resistant""]","Detailed information about the Casual Chinos."
5,Weekend Sweater,45.99,#,https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg,"Warm and cozy sweater for weekend relaxation.","[{""id"":1,""name"":""Men"",""href"":""#""},{""id"":2,""name"":""Clothing"",""href"":""#""}]","[{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Front view of Weekend Sweater""},{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Back view of Weekend Sweater""}]","[{""name"":""Grey"",""class"":""bg-gray-500"",""selectedClass"":""ring-gray-500""},{""name"":""Maroon"",""class"":""bg-red-700"",""selectedClass"":""ring-red-700""}]","[{""name"":""S"",""inStock"":true},{""name"":""L"",""inStock"":true},{""name"":""XL"",""inStock"":false}]","This is a mockup product description for the Weekend Sweater.","[""Soft knit"",""Ribbed cuffs""]","Detailed information about the Weekend Sweater."
6,Fitness Tank,22.99,#,https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg,"Ideal tank for your workout sessions.","[{""id"":1,""name"":""Men"",""href"":""#""},{""id"":2,""name"":""Clothing"",""href"":""#""}]","[{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Front view of Fitness Tank""},{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Back view of Fitness Tank""}]","[{""name"":""White"",""class"":""bg-white"",""selectedClass"":""ring-white""},{""name"":""Black"",""class"":""bg-black"",""selectedClass"":""ring-black""}]","[{""name"":""M"",""inStock"":true},{""name"":""L"",""inStock"":true},{""name"":""XXL"",""inStock"":false}]","This is a mockup product description for the Fitness Tank.","[""Breathable fabric"",""Quick-dry""]","Detailed information about the Fitness Tank."
7,Summer Polo,39.99,#,https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg,"A classic polo for summer outings.","[{""id"":1,""name"":""Men"",""href"":""#""},{""id"":2,""name"":""Clothing"",""href"":""#""}]","[{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Front view of Summer Polo""},{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Back view of Summer Polo""}]","[{""name"":""Blue"",""class"":""bg-blue-300"",""selectedClass"":""ring-blue-300""},{""name"":""Pink"",""class"":""bg-pink-500"",""selectedClass"":""ring-pink-500""}]","[{""name"":""S"",""inStock"":true},{""name"":""M"",""inStock"":true},{""name"":""L"",""inStock"":false}]","This is a mockup product description for the Summer Polo.","[""Lightweight"",""Breathable""]","Detailed information about the Summer Polo."
8,Adventure Jacket,89.99,#,https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg,"Robust jacket for outdoor adventures.","[{""id"":1,""name"":""Men"",""href"":""#""},{""id"":2,""name"":""Clothing"",""href"":""#""}]","[{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Front view of Adventure Jacket""},{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Back view of Adventure Jacket""}]","[{""name"":""Olive"",""class"":""bg-green-700"",""selectedClass"":""ring-green-700""},{""name"":""Brown"",""class"":""bg-yellow-800"",""selectedClass"":""ring-yellow-800""}]","[{""name"":""M"",""inStock"":true},{""name"":""L"",""inStock"":true},{""name"":""XL"",""inStock"":false}]","This is a mockup product description for the Adventure Jacket.","[""Water-resistant"",""Multiple pockets""]","Detailed information about the Adventure Jacket."
9,Office Shirt,54.99,#,https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg,"Professional shirt for office wear.","[{""id"":1,""name"":""Men"",""href"":""#""},{""id"":2,""name"":""Clothing"",""href"":""#""}]","[{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Front view of Office Shirt""},{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Back view of Office Shirt""}]","[{""name"":""White"",""class"":""bg-white"",""selectedClass"":""ring-white""},{""name"":""Blue"",""class"":""bg-blue-500"",""selectedClass"":""ring-blue-500""}]","[{""name"":""S"",""inStock"":true},{""name"":""M"",""inStock"":true},{""name"":""L"",""inStock"":false}]","This is a mockup product description for the Office Shirt.","[""Non-iron"",""Crisp collar""]","Detailed information about the Office Shirt."
10,Leisure Pants,44.99,#,https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg,"Comfortable pants for lounging.","[{""id"":1,""name"":""Men"",""href"":""#""},{""id"":2,""name"":""Clothing"",""href"":""#""}]","[{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Front view of Leisure Pants""},{""src"":""https://tailwindui.com/plus/img/ecommerce-images/product-page-02-secondary-product-shot.jpg"",""alt"":""Back view of Leisure Pants""}]","[{""name"":""Grey"",""class"":""bg-gray-400"",""selectedClass"":""ring-gray-400""},{""name"":""Black"",""class"":""bg-black"",""selectedClass"":""ring-black""}]","[{""name"":""S"",""inStock"":true},{""name"":""M"",""inStock"":true},{""name"":""L"",""inStock"":false}]","This is a mockup product description for the Leisure Pants.","[""Soft cotton blend"",""Elastic waist""]","Detailed information about the Leisure Pants."